**** BEGIN LOGGING AT Thu Jul 26 13:38:16 2018

Jul 26 13:40:15 <utkarsh2102>	Anyone up?
Jul 29 01:29:54 <jasonbraganza>	Clearallchannelbuffers
Jul 29 01:30:24 <BhaveshSGupta[m]>	jasonbraganza :D
Jul 29 01:31:57 <kvy>	jasonbraganza, I have a new task for you if you know about list comprehension in python :)
Jul 29 01:32:42 <fhackdroid>	o/
Jul 29 01:32:57 <kvy>	fhackdroid, good morning
Jul 29 01:33:04 <ann>	fhackdroid:  Hello o/
Jul 29 01:33:22 <fhackdroid>	ann: hey
Jul 29 01:33:33 <fhackdroid>	how are you doing?
Jul 29 01:34:12 <ann>	fhackdroid:  Good. I have company exams tomorrow.
Jul 29 01:34:29 <fhackdroid>	ann: which company?
Jul 29 01:34:58 <ann>	fhackdroid:  persistence
Jul 29 01:35:17 <BhaveshSGupta[m]>	kvy, ann its good what you both did. So here if you  would would have version controlled enabled you would be able to see how with each iternation you are optimizing code, which helps for your future reference. What I normally do this kind of code I work on git enabled system. and later laugh how I started and how it is now :D
Jul 29 01:35:23 <fhackdroid>	hmm okay how are you prepared ann ?
Jul 29 01:35:49 <ann>	fhackdroid I am weak in solving on time.
Jul 29 01:36:06 <fhackdroid>	ann: Just keep calm :)
Jul 29 01:36:30 <BhaveshSGupta[m]>	kvy, list comprehension, I need to check those. I need to complete 5 class of kushal by morning.
Jul 29 01:36:56 <ann>	fhackdroid How to see if a particular company is actually fit for me? I know less of a corporate world
Jul 29 01:38:02 <ann>	BhaveshSGupta[m]:  Never tried that. Will try it for sure. :)
Jul 29 01:40:07 <fhackdroid>	ann: you need to do a background search
Jul 29 01:42:19 <ann>	fhackdroid If asking that is not wrong, may I know in which company do you work?
Jul 29 01:59:48 *	Disconnected (Network is unreachable)
**** ENDING LOGGING AT Sun Jul 29 01:59:48 2018

**** BEGIN LOGGING AT Sun Jul 29 02:00:16 2018

Jul 29 02:00:16 *	Now talking on #dgplug
Jul 29 02:00:16 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 29 02:00:16 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 29 02:00:16 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 29 02:07:58 FiSHLiM plugin unloaded
Jul 29 02:07:58 Python interface unloaded
**** ENDING LOGGING AT Sun Jul 29 02:07:58 2018

**** BEGIN LOGGING AT Sun Jul 29 12:41:48 2018

Jul 29 12:41:48 *	Now talking on #dgplug
Jul 29 12:41:48 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 29 12:41:48 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 29 12:41:48 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 29 12:42:24 <utkarsh2102>	Hello.
Jul 29 12:43:40 <j605>	morning
Jul 29 12:56:06 <priyanka__>	RatanShreshtha, around?
Jul 29 13:00:29 <storymode7>	Hola folks o/
Jul 29 13:03:24 <utkarsh2102>	o\
Jul 29 13:04:42 <kushal>	I wonder why no one kicked kvy for spamming the channel :9
Jul 29 13:04:42 <kushal>	:(
Jul 29 13:05:50 <BhaveshSGupta[m]>	kushal, I was about to day him that during night. that he actually spammed the channel
Jul 29 13:06:11 <BhaveshSGupta[m]>	*say
Jul 29 13:06:18 <kushal>	BhaveshSGupta[m], next time remember to tell him that.
Jul 29 13:08:32 <ann>	kushal Do you read each and every text in this channel?
Jul 29 13:16:14 <philomath>	devesh_verma, hehe
Jul 29 13:23:43 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Sun Jul 29 13:23:43 2018

**** BEGIN LOGGING AT Sun Jul 29 13:24:08 2018

Jul 29 13:24:08 *	Now talking on #dgplug
Jul 29 13:24:08 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 29 13:24:08 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 29 13:24:08 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 29 13:29:02 <kushal>	ann, try to, not possible always
Jul 29 13:34:54 <utkarsh2102>	Oh, can someone suggest me a good resource for Haskell? :/
Jul 29 13:36:06 <kushal>	utkarsh2102, You will have to ask mbuf.
Jul 29 13:38:26 <kushal>	utkarsh2102, iirc  Learn You a Haskell for Great Good! is the book I was suggested.
Jul 29 13:41:09 <fhackdroid>	Hello Folks :)
Jul 29 13:41:27 <kushal>	fhackdroid, hello
Jul 29 13:41:34 <fhackdroid>	kushal: o/
Jul 29 13:41:37 <kushal>	fhackdroid, How are you?
Jul 29 13:41:38 <fhackdroid>	how are you?
Jul 29 13:41:44 <kushal>	haha, me first
Jul 29 13:41:48 <kushal>	fhackdroid, I am sleepy
Jul 29 13:41:50 <kushal>	and hungry
Jul 29 13:41:55 <kushal>	no coffee yet today
Jul 29 13:42:00 <fhackdroid>	kushal: Holding up fine :) Pain all over the body
Jul 29 13:42:16 <kushal>	Who beat you?
Jul 29 13:43:07 <utkarsh2102>	Thank you, kushal.
Jul 29 13:44:00 <kushal>	I mean, do I have to call up sayan and nephila[m] ?
Jul 29 13:44:00 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Sun Jul 29 13:44:00 2018

**** BEGIN LOGGING AT Sun Jul 29 13:44:31 2018

Jul 29 13:44:31 *	Now talking on #dgplug
Jul 29 13:44:31 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 29 13:44:31 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 29 13:44:31 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 29 13:45:02 <fhackdroid>	kushal: Actually I am trying to keep myself fit so recently started with weight training and that is taking the toll on me :)
Jul 29 13:45:17 <kushal>	fhackdroid, ah, I thought sayan and nephila[m] did something.
Jul 29 13:45:30 <fhackdroid>	Will start getting better with time :P
Jul 29 13:45:37 <kushal>	fhackdroid, https://dgplug.org/ircstat/ have a look, jasonbraganza kicked you out of 3rd position.
Jul 29 13:45:57 <fhackdroid>	kushal: Thats a pretty old news :P
Jul 29 13:46:15 <kushal>	Oh
Jul 29 13:46:18 <fhackdroid>	it happened 2 weeks back or so :P
Jul 29 13:46:23 <kushal>	I just noticed
Jul 29 13:46:31 <kushal>	fhackdroid, fight back.
Jul 29 13:47:25 <fhackdroid>	hahaha XD trying but jasonbraganza is way too amazing :)
Jul 29 13:47:50 <kushal>	fhackdroid, fight back.
Jul 29 13:48:05 <kushal>	fhackdroid, you are amazing too.
Jul 29 13:48:26 <kushal>	fhackdroid, Just because you love us a bit less now, you don't talk here much :)
Jul 29 13:49:12 <fhackdroid>	kushal: hahah no no I am not amazing I am just okay :P I want to be amazing :)
Jul 29 13:49:34 <fhackdroid>	kushal: I love you all a lot :))
Jul 29 13:50:09 <fhackdroid>	so much so that I have the IRC setup just so that I can talk here :)
Jul 29 13:51:23 <kushal>	ah
Jul 29 13:51:30 <kushal>	fhackdroid, pm
Jul 29 13:55:42 FiSHLiM plugin unloaded
Jul 29 13:55:42 Python interface unloaded
**** ENDING LOGGING AT Sun Jul 29 13:55:42 2018

**** BEGIN LOGGING AT Sun Jul 29 19:09:42 2018

Jul 29 19:09:42 *	Now talking on #dgplug
Jul 29 19:09:42 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 29 19:09:42 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 29 19:09:42 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 29 19:12:07 FiSHLiM plugin unloaded
Jul 29 19:12:07 Python interface unloaded
**** ENDING LOGGING AT Sun Jul 29 19:12:07 2018

**** BEGIN LOGGING AT Sun Jul 29 23:58:02 2018

Jul 29 23:58:02 *	Now talking on #dgplug
Jul 29 23:58:02 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 29 23:58:02 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 29 23:58:02 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 29 23:58:05 <ann>	kvy remove comments from C program. An easier than before.
Jul 29 23:58:12 <kvy>	ann, how could i add a folder in my repository
Jul 29 23:58:35 <kvy>	ann, ok i will try it in a few minute :)
Jul 29 23:58:51 <ann>	through CLI?
Jul 29 23:59:07 <kvy>	ann, no through GUI
Jul 30 00:00:46 <ann>	umm You might make the folder later on.
Jul 30 00:04:09 <ann>	New file then type name as folder_name/
Jul 30 00:04:34 <ann>	kvy ^^
Jul 30 00:04:56 <kvy>	ann, ok thank you
Jul 30 00:05:06 <storymode7>	kvy: I think it'd be simple if you do from CLI
Jul 30 00:05:51 <kvy>	storymode7, hmm but i am learning using Git Hub using CLI
Jul 30 00:06:41 <storymode7>	kvy: okay :)
Jul 30 00:08:00 <storymode7>	kvy: try to use CLI for small tasks, you'd learn it much faster!
Jul 30 00:08:59 <j605>	kvy: adding a folder is just mkdir
Jul 30 00:09:12 <j605>	then use git to track it like any other file
Jul 30 00:09:47 <j605>	always think of the most simplest way it could be done. That will be mostly correct :)
Jul 30 00:10:02 <storymode7>	I am not too good at git, but the basic operations are really helpful if you can do them from CLI directly.
Jul 30 00:10:08 <j605>	jasonbraganza reminds me of this all the time :)
Jul 30 00:10:33 <storymode7>	Just learn four things to start add commit push pull and look it up on the web if you ever get stuck.
Jul 30 00:10:39 <kvy>	storymode7, j605 ok i will keep these things in mind thank you
Jul 30 00:10:41 <storymode7>	j605: o/
Jul 30 00:10:52 <kvy>	and good night everyone
Jul 30 00:11:05 <storymode7>	good night kvy
Jul 30 00:11:46 *	ann feels she needs to add this in her earlier blog of git
Jul 30 00:11:49 FiSHLiM plugin unloaded
Jul 30 00:11:49 Python interface unloaded
**** ENDING LOGGING AT Mon Jul 30 00:11:49 2018

**** BEGIN LOGGING AT Mon Jul 30 12:41:30 2018

Jul 30 12:41:30 *	Now talking on #dgplug
Jul 30 12:41:30 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 30 12:41:30 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 30 12:41:30 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 30 12:42:11 FiSHLiM plugin unloaded
Jul 30 12:42:11 Python interface unloaded
**** ENDING LOGGING AT Mon Jul 30 12:42:11 2018

**** BEGIN LOGGING AT Sun Aug  5 15:05:45 2018

Aug 05 15:05:45 *	Now talking on #dgplug
Aug 05 15:05:45 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Aug 05 15:05:45 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:55 2018)
Aug 05 15:05:45 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Aug 05 15:05:54 <utkarsh2102>	Hello, World!
Aug 05 15:07:54 FiSHLiM plugin unloaded
Aug 05 15:07:54 Python interface unloaded
**** ENDING LOGGING AT Sun Aug  5 15:07:54 2018

**** BEGIN LOGGING AT Sun Aug  5 15:08:07 2018

Aug 05 15:08:07 *	Now talking on #dgplug
Aug 05 15:08:07 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Aug 05 15:08:07 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Aug 05 15:08:07 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Aug 05 15:08:44 <CuriousLearner>	Hello RJ722
Aug 05 15:11:09 FiSHLiM plugin unloaded
Aug 05 15:11:09 Python interface unloaded
**** ENDING LOGGING AT Sun Aug  5 15:11:09 2018

**** BEGIN LOGGING AT Sun Aug  5 23:17:29 2018

Aug 05 23:17:29 *	Now talking on #dgplug
Aug 05 23:17:29 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Aug 05 23:17:29 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Aug 05 23:17:29 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Aug 05 23:18:09 FiSHLiM plugin unloaded
Aug 05 23:18:09 Python interface unloaded
**** ENDING LOGGING AT Sun Aug  5 23:18:09 2018

**** BEGIN LOGGING AT Tue Aug  7 21:22:01 2018

Aug 07 21:22:01 *	Now talking on #dgplug
Aug 07 21:22:01 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Aug 07 21:22:01 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Aug 07 21:22:01 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Aug 07 21:23:16 FiSHLiM plugin unloaded
Aug 07 21:23:16 Python interface unloaded
**** ENDING LOGGING AT Tue Aug  7 21:23:16 2018

